|   day |   penalty |
|------:|----------:|
|     0 |      0    |
|     1 |      0.29 |
|     2 |      0.35 |
|     3 |      0.39 |
|     4 |      0.42 |
|     5 |      0.44 |
|     6 |      0.46 |
|     7 |      0.48 |
|     8 |      0.49 |
|     9 |      0.51 |
|    10 |      0.52 |
|    11 |      0.54 |
|    12 |      0.55 |
|    13 |      0.56 |
|    14 |      0.57 |
|    15 |      0.58 |
|    16 |      0.59 |
|    17 |      0.6  |
|    18 |      0.61 |
|    19 |      0.61 |
|    20 |      0.62 |
|    21 |      0.63 |
|    22 |      0.64 |
|    23 |      0.64 |
|    24 |      0.65 |
|    25 |      0.66 |
|    26 |      0.66 |
|    27 |      0.67 |
|    28 |      0.68 |
|    29 |      0.68 |
|    30 |      0.69 |
|    31 |      0.69 |
|    32 |      0.7  |
|    33 |      0.71 |
|    34 |      0.71 |
|    35 |      0.72 |
|    36 |      0.72 |
|    37 |      0.73 |
|    38 |      0.73 |
|    39 |      0.74 |
|    40 |      0.74 |
|    41 |      0.74 |
|    42 |      0.75 |
|    43 |      0.75 |
|    44 |      0.76 |
|    45 |      0.76 |
|    46 |      0.77 |
|    47 |      0.77 |
|    48 |      0.77 |
|    49 |      0.78 |
|    50 |      0.78 |
|    51 |      0.79 |
|    52 |      0.79 |
|    53 |      0.79 |
|    54 |      0.8  |
|    55 |      0.8  |
|    56 |      0.8  |
|    57 |      0.8  |
|    58 |      0.8  |
|    59 |      0.8  |
|    60 |      0.8  |
|    61 |      0.8  |
|    62 |      0.8  |
|    63 |      0.8  |
|    64 |      0.8  |
|    65 |      0.8  |
|    66 |      0.8  |
|    67 |      0.8  |
|    68 |      0.8  |
|    69 |      0.8  |
|    70 |      0.8  |
|    71 |      0.8  |
|    72 |      0.8  |
|    73 |      0.8  |
|    74 |      0.8  |
|    75 |      0.8  |
|    76 |      0.8  |
|    77 |      0.8  |
|    78 |      0.8  |
|    79 |      0.8  |
|    80 |      0.8  |
|    81 |      0.8  |
|    82 |      0.8  |
|    83 |      0.8  |
|    84 |      0.8  |
|    85 |      0.8  |
|    86 |      0.8  |
|    87 |      0.8  |
|    88 |      0.8  |
|    89 |      0.8  |
|    90 |      0.8  |
|    91 |      0.8  |
|    92 |      0.8  |
|    93 |      0.8  |
|    94 |      0.8  |
|    95 |      0.8  |
|    96 |      0.8  |
|    97 |      0.8  |
|    98 |      0.8  |
|    99 |      0.8  |
|   100 |      0.8  |
|   101 |      0.8  |
|   102 |      0.8  |
|   103 |      0.8  |
|   104 |      0.8  |
|   105 |      0.8  |
|   106 |      0.8  |
|   107 |      0.8  |
|   108 |      0.8  |
|   109 |      0.8  |
|   110 |      0.8  |
|   111 |      0.8  |
|   112 |      0.8  |
|   113 |      0.8  |
|   114 |      0.8  |
|   115 |      0.8  |
|   116 |      0.8  |
|   117 |      0.8  |
|   118 |      0.8  |
|   119 |      0.8  |
|   120 |      0.8  |
|   121 |      0.8  |
|   122 |      0.8  |
|   123 |      0.8  |
|   124 |      0.8  |
|   125 |      0.8  |
|   126 |      0.8  |
|   127 |      0.8  |
|   128 |      0.8  |
|   129 |      0.8  |
|   130 |      0.8  |
|   131 |      0.8  |
|   132 |      0.8  |
|   133 |      0.8  |
|   134 |      0.8  |
|   135 |      0.8  |
|   136 |      0.8  |
|   137 |      0.8  |
|   138 |      0.8  |
|   139 |      0.8  |
|   140 |      0.8  |
|   141 |      0.8  |
|   142 |      0.8  |
|   143 |      0.8  |
|   144 |      0.8  |
|   145 |      0.8  |
|   146 |      0.8  |
|   147 |      0.8  |
|   148 |      0.8  |
|   149 |      0.8  |
|   150 |      0.8  |
|   151 |      0.8  |
|   152 |      0.8  |
|   153 |      0.8  |
|   154 |      0.8  |
|   155 |      0.8  |
|   156 |      0.8  |
|   157 |      0.8  |
|   158 |      0.8  |
|   159 |      0.8  |
|   160 |      0.8  |
|   161 |      0.8  |
|   162 |      0.8  |
|   163 |      0.8  |
|   164 |      0.8  |
|   165 |      0.8  |
|   166 |      0.8  |
|   167 |      0.8  |
|   168 |      0.8  |
|   169 |      0.8  |
|   170 |      0.8  |
|   171 |      0.8  |
|   172 |      0.8  |
|   173 |      0.8  |
|   174 |      0.8  |
|   175 |      0.8  |
|   176 |      0.8  |
|   177 |      0.8  |
|   178 |      0    |
|   179 |      0    |